🥖 1F956 法式长棍面包
🫓 1FAD3 扁面包
🥨 1F968 椒盐卷饼
🥯 1F96F 面包圈
🥞 1F95E 烙饼
🧇 1F9C7 华夫饼
🧀 1F9C0 芝士
🍖 1F356 排骨
🍗 1F357 家禽的腿
🥩 1F969 肉块
🥓 1F953 培根
🍔 1F354 汉堡
🍟 1F35F 薯条
🍕 1F355 披萨
🌭 1F32D 热狗
🥪 1F96A 三明治
🌮 1F32E 墨西哥卷饼
🌯 1F32F 墨西哥玉米煎饼
🫔 1FAD4 墨西哥粽子
🥙 1F959 夹心饼
🧆 1F9C6 炸豆丸子
🥚 1F95A 蛋
🍳 1F373 煎蛋
🥘 1F958 装有食物的浅底锅
🍲 1F372 一锅食物
🫕 1FAD5 奶酪火锅
🥣 1F963 碗勺
🥗 1F957 绿色沙拉
🍿 1F37F 爆米花
🧈 1F9C8 黄油
🧂 1F9C2 盐
🥫 1F96B 罐头食品
🍱 1F371 盒饭
🍘 1F358 米饼
🍙 1F359 饭团
🍚 1F35A 米饭
🍛 1F35B 咖喱饭
🍜 1F35C 面条
🍝 1F35D 意粉
🍠 1F360 烤红薯
🍢 1F362 关东煮
🍣 1F363 寿司
🍤 1F364 天妇罗
🍥 1F365 鱼板
🥮 1F96E 月饼
🍡 1F361 团子
🥟 1F95F 饺子
🥠 1F960 幸运饼干
🥡 1F961 外卖盒
🦀 1F980 蟹
🦞 1F99E 龙虾
🦐 1F990 虾
🦑 1F991 乌贼
🦪 1F9AA 牡蛎
🍦 1F366 圆筒冰激凌
🍧 1F367 刨冰
🍨 1F368 冰淇淋
🍩 1F369 甜甜圈
🍪 1F36A 饼干
🎂 1F382 生日蛋糕
🍰 1F370 水果蛋糕
🧁 1F9C1 纸杯蛋糕
🥧 1F967 派
🍫 1F36B 巧克力
🍬 1F36C 糖
🍭 1F36D 棒棒糖
🍮 1F36E 奶黄
🍯 1F36F 蜂蜜
🍼 1F37C 奶瓶
🥛 1F95B 一杯奶
☕ 2615 热饮
🫖 1FAD6 茶壶
🍵 1F375 热茶
🍶 1F376 清酒
🍾 1F37E 开香槟
🍷 1F377 葡萄酒
🍸 1F378 鸡尾酒
🍹 1F379 热带水果饮料
🍺 1F37A 啤酒
🍻 1F37B 干杯
🥂 1F942 碰杯
🥃 1F943 平底杯
🥤 1F964 带吸管杯
🧋 1F9CB 珍珠奶茶
🧃 1F9C3 饮料盒
🧉 1F9C9 马黛茶
🧊 1F9CA 冰块
🥢 1F962 筷子
🍽 1F37D 餐具
🍴 1F374 刀叉
🥄 1F944 匙
